timestamp,ECG_CH1
1763969102.477908,0
1763969102.477908,-381421
1763969102.481498,-375526
1763969102.481498,-375051
1763969102.5058997,-375410
1763969102.5088923,-375588
1763969102.5099025,-374239
1763969102.5205877,-375572
1763969102.522112,-375378
1763969102.5343628,-376189
1763969102.535949,-377758
1763969102.5514467,-377807
1763969102.5524895,-380321
1763969102.5600343,-380602
1763969102.5746882,-381722
1763969102.5767014,-383579
1763969102.5934737,-382697
1763969102.5955062,-383649
1763969102.604693,-383120
1763969102.6067035,-383455
1763969102.6147587,-383762
1763969102.6358018,-382929
1763969102.6400511,-382741
1763969102.6475978,-383345
1763969102.6491075,-381646
1763969102.6641388,-382764
1763969102.6641388,-381874
1763969102.6786146,-382121
1763969102.6796155,-383096
1763969102.6847577,-381436
1763969102.7046356,-382890
1763969102.709788,-382715
1763969102.7155335,-382985
1763969102.7155335,-383899
1763969102.7305825,-382501
1763969102.7329218,-383820
1763969102.7534258,-383069
1763969102.7563672,-383128
1763969102.7573788,-383716
1763969102.7815597,-382499
1763969102.782577,-384012
1763969102.7855656,-384359
1763969102.7855656,-382907
1763969102.8229659,-384055
1763969102.8244863,-383533
1763969102.8365927,-383255
1763969102.8365927,-382610
1763969102.8365927,-381306
1763969102.8433125,-380882
1763969102.8463407,-378569
1763969102.854582,-379605
1763969102.854582,-381372
1763969102.8815303,-381370
1763969102.8815303,-383487
1763969102.896271,-383809
1763969102.8982275,-384311
1763969102.8992307,-385399
1763969102.9121025,-383777
1763969102.9195142,-385430
1763969102.9249265,-385129
1763969102.9264195,-385269
1763969102.931883,-387757
1763969102.952433,-386390
1763969102.961306,-378619
1763969102.9663646,-366406
1763969102.9671147,-346146
1763969102.9786646,-338899
1763969102.9813166,-349959
1763969102.9914877,-382356
1763969103.0020707,-390031
1763969103.00796,-386271
1763969103.0216668,-386149
1763969103.0216668,-383836
1763969103.035577,-383489
1763969103.0375903,-384229
1763969103.0500553,-382426
1763969103.051562,-383582
1763969103.0613606,-382851
1763969103.0775423,-382840
1763969103.0789325,-383051
1763969103.1029673,-381216
1763969103.1091335,-382019
1763969103.1101618,-381017
1763969103.1116881,-380093
1763969103.1319158,-380919
1763969103.1360643,-380207
1763969103.1371014,-379794
1763969103.1623292,-379427
1763969103.1639853,-377456
1763969103.1652145,-378426
1763969103.1672072,-377154
1763969103.1915245,-376994
1763969103.1931005,-377176
1763969103.2604759,-375372
1763969103.2619617,-376879
1763969103.2619617,-376629
1763969103.2619617,-376286
1763969103.2674751,-376817
1763969103.268468,-376493
1763969103.2694654,-378593
1763969103.2713923,-379709
1763969103.2713923,-381013
1763969103.2713923,-382759
1763969103.2858303,-381866
1763969103.2878442,-383110
1763969103.2878442,-383984
1763969103.2878442,-383104
1763969103.3148513,-383827
1763969103.3158674,-383125
1763969103.3158674,-382517
1763969103.3427694,-383191
1763969103.344962,-382019
1763969103.3458176,-383071
1763969103.3469625,-382496
1763969103.351427,-382799
1763969103.351427,-382994
1763969103.3796315,-381337
1763969103.3816342,-382983
1763969103.3831542,-382634
1763969103.4026132,-383014
1763969103.403975,-383486
1763969103.4149039,-382381
1763969103.415922,-383574
1763969103.4217196,-383414
1763969103.4259884,-382954
1763969103.4344106,-384555
1763969103.4527597,-383744
1763969103.4527597,-383696
1763969103.468779,-384649
1763969103.4703937,-383102
1763969103.4854136,-384431
1763969103.4901052,-383889
1763969103.4917564,-384003
1763969103.5112906,-384664
1763969103.521532,-383690
1763969103.5447338,-385409
1763969103.5447338,-383734
1763969103.5447338,-383178
1763969103.5447338,-383240
1763969103.5746615,-379187
1763969103.5765321,-379544
1763969103.5803251,-379067
1763969103.5811899,-380165
1763969103.5822952,-383358
1763969103.5906847,-383204
1763969103.5926547,-384472
1763969103.6045642,-385237
1763969103.6072085,-384819
1763969103.612705,-385864
1763969103.6315107,-385606
1763969103.6315107,-385325
1763969103.6463344,-385937
1763969103.6478412,-386346
1763969103.660012,-386732
1763969103.6619682,-377381
1763969103.684822,-364004
1763969103.6890485,-345405
1763969103.690073,-339111
1763969103.7000732,-355255
1763969103.7015905,-385927
1763969103.7147748,-389861
1763969103.7158022,-387314
1763969103.7359638,-384117
1763969103.7413113,-384153
1763969103.742338,-383504
1763969103.761402,-383441
1763969103.761402,-383702
1763969103.7845984,-382522
1763969103.7925103,-382766
1763969103.793524,-382757
1763969103.7955785,-381207
1763969103.8015823,-381862
1763969103.8015823,-380798
1763969103.8094478,-380629
1763969103.8314655,-380837
1763969103.8314655,-379044
1763969103.8314655,-379784
1763969103.8314655,-378822
1763969103.8537257,-378139
1763969103.8537257,-378048
1763969103.898327,-375651
1763969103.8995264,-376575
1763969103.900707,-375639
1763969103.921942,-375599
1763969103.9266803,-375837
1763969103.9424186,-374011
1763969103.943944,-376096
1763969103.9459417,-376196
1763969103.947105,-375377
1763969103.9480917,-377281
1763969103.9508748,-377760
1763969103.9514964,-379094
1763969103.9617736,-380397
1763969103.9617736,-380189
1763969103.9803905,-382447
1763969103.9813926,-382369
1763969103.993439,-382153
1763969104.0018973,-382925
1763969104.0018973,-381891
1763969104.021414,-382919
1763969104.025539,-382571
1763969104.044952,-382419
1763969104.044952,-382722
1763969104.0515037,-381205
1763969104.0536277,-382491
1763969104.0629737,-381574
1763969104.0780022,-381689
1763969104.0799897,-382230
1763969104.1028423,-381560
1763969104.1065946,-381793
1763969104.1076038,-382184
1763969104.1086125,-381352
1763969104.12825,-382638
1763969104.1315236,-382153
1763969104.1315236,-382722
1763969104.1588142,-383372
1763969104.1598349,-381956
1763969104.1613545,-383236
1763969104.163265,-382384
1763969104.183135,-382357
1763969104.184646,-381657
1763969104.186207,-379192
1763969104.2013378,-378985
1763969104.2019842,-377284
1763969104.2432017,-376981
1763969104.2447133,-379216
1763969104.2447133,-380943
1763969104.2447133,-383693
1763969104.277439,-383374
1763969104.3015468,-382871
1763969104.3041508,-384757
1763969104.3101642,-384246
1763969104.311404,-384263
1763969104.3158195,-385022
1763969104.3167565,-383438
1763969104.3167565,-385563
1763969104.3167565,-385731
1763969104.3216338,-377951
1763969104.3261526,-366172
1763969104.3271463,-345907
1763969104.3318772,-337431
1763969104.3415358,-348752
1763969104.3610914,-382553
1763969104.3633046,-389641
1763969104.397962,-385019
1763969104.3999677,-384206
1763969104.3999677,-382290
1763969104.4016445,-382617
1763969104.4055564,-382376
1763969104.4094703,-380876
1763969104.4127085,-381636
1763969104.4330897,-381571
1763969104.435378,-380287
1763969104.4371645,-381207
1763969104.4500184,-380150
1763969104.4515753,-379914
1763969104.466322,-380016
1763969104.4669483,-378010
1763969104.4843874,-378846
1763969104.4909396,-378071
1763969104.4924703,-377413
1763969104.5033164,-377249
